chunk_id,doc_id,title,text,source_url,metadata.chapter
doc:204611:article_1,204611,제1조(목적),제1조(목적)   이 영은 1980년해직공무원의보상등에관한특별조치법(이하 “법”이라 한다)에서 위임된 사항과 그 시행에 관하여 필요한 사항을 규정함을 목적으로 한다.,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=204611&efYd=20180921,
doc:204611:article_2,204611,제2조(보상금액의 산정등),"제2조(보상금액의 산정등)   ①법 제2조제4항에서 “1988년도 봉급월액”이라 함은 당해 해직공무원의 해직당시의 직급ㆍ호봉을 승진 또는 호봉승급 없이 1988년 12월31일 현재 적용되는 법령에 의하여 환산한 해당직급ㆍ호봉을 기준으로 한 1988년도 봉급월액을 말한다.
②보상금액의 산출기간은 해직일로부터 1988년 12월 31일까지로 한다. 다만, 1988년 12월 31일 이전에 다음 각호의 1에 해당하는 경우에는 그 사유발생일까지로 한다. <개정 2018. 9. 18.>
1. 연령정년 또는 근무상한연령제의 적용을 받는 자는 1988년 12월 31일 현재의 공무원임용관계법령에서 정하는 연령정년 또는 근무상한연령에 도달하는 경우의 퇴직일. 다만, 공무원임용관계법령의 개정으로 해직당시의 연령정년이 단축된 경우에는 종전의 규정에 의한 퇴직일로 한다.
2. 임기제가 적용되는 자(제1호에 해당하는 자를 제외한다)는 그 임기만료일
3. 연령정년ㆍ근무상한연령 또는 임기제의 적용을 받지 아니하는 자는 그에 상당하는 일반직공무원의 제1호의 규정에 의한 퇴직일
4. 사망한 자는 사망일
5. 외국에 이주한 자는 거주 목적의 여권 발급일
6. 국적 상실자(제5호에 해당하는 자를 제외한다)는 국적상실일
7. 공무원으로 재임용된 자는 재임용일
8. 「공무원연금법」 제50조제1항제3호부터 제5호까지의 규정에 따른 연금지급정지대상기관의 임직원으로 채용된 자는 채용일(해직공무원이 채용된 후 그 채용기관이 연금지급정지대상기관으로 된 경우에는 연금지급정지대상기관으로 된 날)
③개인별 보상금액은 제1항의 규정에 의한 1988년도 봉급월액에 제2항의 규정에 의한 보상금액 산출기간을 월수로 환산하여 곱한 총봉급액 상당금액의 60퍼센트 로 한다. 이 경우 보상금액 산출기간중 1월미만의 기간에 대하여는 일할 계산한다.
④법 제2조제6항 단서의 규정에 의한 개인별 보상 금액의 최저한도는 500만원으로 한다.",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=204611&efYd=20180921,
doc:204611:article_3,204611,제3조(공고),"제3조(공고)   인사혁신처장은 이 영 시행일로부터 15일이내에 보상금지급 신청에 관한 다음 각호의 사항을 관보 및 2개이상의 일간신문에 공고하여야 한다. <개정 2004. 6. 11., 2008. 2. 29., 2013. 3. 23., 2014. 11. 19.>
1. 보상대상자
2. 신청인
3. 신청기관
4. 신청기간
5. 구비서류
6. 개인별 보상금액 산정기준
7. 심사절차
8. 기타 보상금지급에 관한 사항",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=204611&efYd=20180921,
doc:204611:article_4,204611,제4조(보상금지급신청),"제4조(보상금지급신청)   ①보상대상자는 제3조의 규정에 의한 공고일로부터 2월이내에 다음 각호의 서류를 해직당시의 소속기관 또는 소속 중앙행정기관 (국회사무처ㆍ국회도서관ㆍ법원행정처ㆍ중앙선거관리위원회사무처 및 서울특별시를 포함하고, 직할시ㆍ도의 경우에는 내무부, 시ㆍ도교육위원회의 경우에는 교육부를 말하며, 해직시 소속 중앙행정기관이 폐지ㆍ변경된 경우에는 그 권한 또는 기능을 승계받은 기관을 말한다. 이하 같다)에 제출하여 보상금 지급을 신청하여야 한다. 이 경우 소속기관의 장은 다음 각호의 서류의 기재사항을 확인하여 이를 지체없이 중앙행정기관의 장에게 송부하여야 한다. <개정 1991ㆍ2ㆍ1>
1. 별지 제1호서식의 보상금지급신청서 1부.
2. 삭제 <2006. 6. 12.>
3. 신원증명서(시ㆍ구ㆍ읍ㆍ면장 발행) 1부.
4. 삭제 <2006. 6. 12.>
5. 별지 제2호서식의 유족대표자선정서(동순위 재산상속인이 2인 이상인 경우에 한한다) 1부.
6. 별지 제3호서식의 보상금수령위임장(이민ㆍ입원 기타 불가피한 사유가 있어 대리 신청하는 경우에 한한다) 1부.
7. 기타 보상대상자임을 증명할 수 있는 서류 1부.
②제1항의 보상금지급 신청은 보상대상자 본인이 하여야 한다. 다만, 보상대상자가 사망 또는 실종선고된 경우에는 재산상속인이 하되, 동순위 재산상속인이 2인이상인 경우에는 별지 제2호서식의 유족대표자선정서에 의하여 유족대표자를 선정하여 신청하여야 한다.
③제2항의 규정에 의하여 보상금지급을 신청할 수 있는 자가 이민ㆍ입원 기타 불가피한 사유로 보상금을 직접신청ㆍ수령할 수 없는 경우에는 다음 각호의 1에 해당하는 자가 확인하는 별지 제3호서식의 보상금수령위임장을 제출하여야 한다.
1. 이민 기타 국외체류의 경우에는 해외공관의 장
2. 입원의 경우에는 의료기관의 장
3. 교도소 등에 수용된 경우에는 그 수용기관의 장
4. 기타의 경우에는 퇴직시 소속기관의 장
④각급 기관의 장은 서신ㆍ전화ㆍ방문 기타의 방법으로 소속 해직공무원에게 제1항의 규정에 의한 기간내에 보상금지급을 신청하도록 권장하여야 한다.
⑤제1항 후단에 따라 서류를 송부받은 중앙행정기관의 장은 담당 공무원으로 하여금 「전자정부 구현을 위한 행정업무 등의 전자화촉진에 관한 법률」 제21조제1항에 따른 행정정보의 공동이용을 통하여 다음 각 호의 서류를 확인하게 하여야 한다. 다만, 신청인이 확인에 동의하지 아니하는 경우에는 이를 첨부하도록 하여야 한다. <신설 2006. 6. 12.>
1. 보상대상자의 주민등록표 등본
2. 호적등본(본인이 사망 또는 실종선고된 경우에 한한다)",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=204611&efYd=20180921,
doc:204611:article_5,204611,제5조(보상대상자의 조사ㆍ확인),"제5조(보상대상자의 조사ㆍ확인)   ①각 중앙행정기관의 장은 제4조제1항의 규정에 의하여 보상금지급신청서를 접수하거나 소속기관으로부터 이를 송부받은 때에는 신청인이 보상대상자에 해당하는지의 여부를 조사ㆍ확인하여 보상대상자로 인정되는 때에는 다음 각호의 서류를 인사혁신처장에게 제출하고, 제1호의 서류의 사본을 당해기관에 보관하여야 한다. 이 경우 정화계획에 의하여 해직된 공무원의 명부에 등재되지 아니한 자를 보상대상자로 인정한 때에는 그 명부 미등재 사유를 명시하여야 한다. <개정 2004. 6. 11., 2008. 2. 29., 2013. 3. 23., 2014. 11. 19.>
1. 제4조제1항 각호의 서류
2. 별지 제4서식의 보상금지급 심사조서
3. 보상대상자의 인사기록카드 사본 1부
4. 기타 보상대상자임을 증명할 수 있는 서류
②각 중앙행정기관의 장은 제1항의 규정에 의한 조사ㆍ확인에 의하여 신청인을 보상대상자로 인정하지 아니할 때에는 그 이유를 명시하여 신청인에게 통지하여야 한다.
③제1항 및 제2항의 규정에 의한 제출 또는 통지는 보상금지급신청서를 접수하거나 송부받은 날로부터 30일 이내에 하여야 한다.
④제1항의 규정에 의하여 신청인이 보상대상자에 해당하는지 여부를 조사ㆍ확인하기 위하여 필요하다고 인정하는 때에는 각 중앙행정기관별로 위원회를 설치ㆍ운영할 수 있다.",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=204611&efYd=20180921,
doc:204611:article_6,204611,제6조(보상대상자의 결정),"제6조(보상대상자의 결정)   ①인사혁신처장은 제5조제1항의 규정에 의하여 보상금지급신청서등 관계서류를 제출받은 때에는 이를 확인하여 제7조의 규정에 의한 보상심의회에 회부하여야 한다. <개정 2004. 6. 11., 2008. 2. 29., 2013. 3. 23., 2014. 11. 19.>
②인사혁신처장은 제8조제7항의 규정에 의하여 보상심의회의 심의결과를 통보받은 때에는 신청인이 보상대상자에 해당하는지의 여부 및 보상금액을 결정하여 해당중앙행정기관의 장에게 통보하고, 당해 중앙행정기관의 장은 이를 신청인에게 통지하여야 한다. <개정 2004. 6. 11., 2008. 2. 29., 2013. 3. 23., 2014. 11. 19.>",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=204611&efYd=20180921,
doc:204611:article_7,204611,제7조(보상심의회의 설치등),"제7조(보상심의회의 설치등)   ①보상금지급에 관한 사항을 심의하기 위하여 국무총리 소속하에 1980년해직공무원보상심의위원회(이하 “보상심의회”라 한다)를 둔다.
②보상심의회는 다음 각호에 관한 사항을 심의한다.
1. 보상대상자에 해당하는지의 여부 및 그 유족의 확인
2. 개인별 보상금액의 산정
3. 기타 보상금지급에 관한 사항
③보상심의회는 위원장 1인을 포함한 7인이상 9인이하의 위원으로 구성하되, 위원장은 인사혁신처장이 되고, 위원은 1급이상 공무원과 학식과 경험이 풍부한 자 중에서 국무총리가 임명 또는 위촉한다. <개정 2004. 6. 11., 2008. 2. 29., 2013. 3. 23., 2014. 11. 19.>",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=204611&efYd=20180921,
doc:204611:article_8,204611,제8조(보상심의회의 운영),"제8조(보상심의회의 운영)   ①위원장은 보상심의회의 회의를 소집하고 그 의장이 된다.
②위원장은 보상심의회를 대표하고 회무를 통할하며, 위원장이 사고가 있을 때에는 위원장이 지명하는 위원이 그 직무를 대행한다.
③보상심의회의 회의는 재적위원 과반수의 출석으로 개의하고, 출석위원 과반수의 찬성으로 의결한다.
④보상심의회의 서무를 처리하기 위하여 간사와 서기 약간인을 두며, 필요하다고 인정할 때에는 실무작업반을 구성ㆍ운영할 수 있다.
⑤보상심의회에 출석한 위원에 대하여는 예산의 범위안에서 수당을 지급할 수 있다.
⑥보상심의회는 그 업무수행을 위하여 필요하다고 인정될 때에는 관계인 또는 관계기관에 사실조사ㆍ조회 기타 자료의 제출을 요청하거나 그 의견을 들을 수 있다.
⑦보상심의회는 제6조제1항의 규정에 의하여 보상금지급신청서를 회부받은 날로부터 30일이내에 그에 관한 심의를 완료하고, 그 결과를 인사혁신처장에게 통보하여야 한다. 다만, 필요하다고 인정되는 경우에는 보상심의회의 의결로 그 기간을 연장할 수 있다. <개정 2004. 6. 11., 2008. 2. 29., 2013. 3. 23., 2014. 11. 19.>",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=204611&efYd=20180921,
doc:204611:article_9,204611,제9조(보상금의 지급),"제9조(보상금의 지급)   ①인사혁신처장은 제6조제2항의 규정에 의하여 보상금액을 결정한 때에는 신청인에게 보상금지급통지서를 교부하고, 그 사실을 보상금을 지급할 금융기관에 통보하여야 한다. <개정 2004. 6. 11., 2008. 2. 29., 2013. 3. 23., 2014. 11. 19.>
②제1항의 규정에 의한 보상금지급통지서를 교부받은 자는 다음 각호의 서류등을 지참하여 보상금지급신청서에 명시된 금융기관에서 보상금을 수령한다.
1. 인감증명서(용도:보상금수령용) 1부
2. 인감신고된 인장
3. 주민등록증",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=204611&efYd=20180921,
doc:204611:article_10,204611,제10조(보상금의 환수),제10조(보상금의 환수)   사기 기타 부정한 방법으로 보상금을 지급받았거나 보상금이 과오지급된 경우에는 지급받은 보상금의 전부 또는 일부를 환수한다.,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=204611&efYd=20180921,
