chunk_id,doc_id,title,text,source_url,metadata.chapter,metadata.source_type
doc:2100000213115:article_1,2100000213115,제1조(목적),제1조(목적) 이 고시는 「민원처리에 관한 법률」 제14조제1항 및 같은 법 시행령 제12조제3항에 따라 해당 사회보험기관이 접수ㆍ처리하여야 할 민원서류를 다른 사회보험기관을 통하여 접수할 수 있도록 필요한 사항을 정함을 목적으로 한다.,https://www.law.go.kr/admRulInfoP.do?admRulSeq=2100000213115,(고용노동부) 4대 사회보험 민원서류 접수 등에 관한 고시,
doc:2100000213115:article_2,2100000213115,제2조(민원서류의 접수기관),"제2조(민원서류의 접수기관) 다음 각 호의 사회보험기관(이하 4대 사회보험기관이라 한다)은 제3조에서 정하는 「국민연금법」에 따른 국민연금, 「국민건강보험법」에 따른 건강보험, 「고용보험법」, 「고용보험 및 산업재해보상보험법의 보험료징수 등에 관한 법률」(이하 보험료징수법이라 한다)에 따른 고용보험ㆍ산업재해보상보험(이하 4대 사회보험이라 한다)의 민원서류를 접수하여야 한다.
1. 「국민연금법」 제24조에 따른 국민연금공단
2. 「국민건강보험법」 제13조에 따른 국민건강보험공단
3. 「산업재해보상보험법」 제10조에 따른 근로복지공단",https://www.law.go.kr/admRulInfoP.do?admRulSeq=2100000213115,(고용노동부) 4대 사회보험 민원서류 접수 등에 관한 고시,
doc:2100000213115:article_3,2100000213115,제3조(민원서류의 종류),"제3조(민원서류의 종류) 제2조에 따른 4대 사회보험기관이 접수하여야 하는 민원서류는 다음 각 호와 같다. 다만, 군인 및 국가정보원의 직원과 관련된 건강보험 민원서류와 건설공사와 관련된 고용보험ㆍ산업재해보상보험(이하 고용보험ㆍ산재보험이라 한다) 민원서류(사업개시신고와 관련된 서류를 포함한다)는 제외한다.
1. 공통서식(하나의 서식으로 둘 이상의 사회보험을 신고할 수 있는 서식을 말한다)
가. 사업장 적용(성립) 신고서식: 「국민연금법 시행규칙」별지 제3호서식, 「국민건강보험법 시행규칙」별지 제2호서식, 보험료징수법 시행규칙 별지 제2호서식의 국민연금 당연적용사업장 해당신고서, 건강보험사업장(기관) 적용신고서, 고용보험ㆍ산재보험 보험관계성립신고서 및 보험가입신청서
나. 사업장 내용변경 신고서식: 「국민연금법 시행규칙」별지 제12호서식, 「국민건강보험법 시행규칙」별지 제3호서식, 보험료징수법 시행규칙 별지 제13호서식의 국민연금 사업장내용 변경신고서, 건강보험 사업장(기관) 변경신고서, 고용보험ㆍ산재보험 보험관계 변경신고서
다. 사업장 탈퇴(소멸)신고서식: 「국민연금법 시행규칙」별지 제4호서식, 「국민건강보험법 시행규칙」별지 제4호서식, 보험료징수법 시행규칙 별지 제4호서식의 국민연금 사업장 탈퇴신고서, 건강보험 사업장 탈퇴신고서, 고용보험ㆍ산재보험 보험관계 소멸신고서 및 보험관계 해지신청서
라. 사업장(직장)가입자 자격취득 신고서식: 「국민연금법 시행규칙」 별지 제6호서식, 「국민건강보험법 시행규칙」 별지 제6호서식, 「고용보험법 시행규칙」 별지 제5호서식, 보험료징수법 시행규칙 별지 제22호의5서식의 국민연금 사업장가입자 자격취득 신고서, 건강보험 직장가입자 자격취득 신고서, 고용보험 피보험 자격취득 신고서, 산재보험 근로자 고용 신고서
마. 사업장(직장)가입자 내용변경 신고서식: 「국민연금법 시행규칙」 별지 제13호서식, 「국민건강보험법 시행규칙」 별지 제9호서식, 「고용보험법 시행규칙」 별지 제19호서식, 보험료징수법 시행규칙 별지 제22호의10서식의 국민연금 사업장가입자 내용변경 신고서, 건강보험 직장가입자 내용변경 신고서, 고용보험 피보험자 내용변경 신고서, 산재보험 근로자 정보변경 신고서
바. 사업장(직장)가입자 자격상실 신고서식: 「국민연금법 시행규칙」 별지 제7호서식, 「국민건강보험법 시행규칙」 별지 제8호서식, 「고용보험법 시행규칙」 별지 제6호서식, 보험료징수법 시행규칙 별지 제22호의6서식의 국민연금 사업장가입자 자격상실 신고서, 건강보험 직장가입자 자격상실 신고서, 고용보험 피보험 자격상실 신고서, 산재보험 근로자 고용종료 신고서
사. 지역가입자 자격취득 신고서식: 「국민연금법 시행규칙」 별지 제8호서식, 「국민건강보험법 시행규칙」 별지 제5호서식의 국민연금 지역가입자 자격취득신고서, 건강보험 지역가입자 자격취득ㆍ변동신고서
아. 지역가입자 자격상실(내용변경) 신고서식: 「국민연금법 시행규칙」 별지 제1호서식, 「국민건강보험법 시행규칙」 별지 제7호서식의 국민연금 지역가입자 내용 변경신고서 및 자격상실 신고서 및 기준소득월액 변경신청서, 건강보험 지역가입자 자격상실 신고서(세대 전체가 상실한 경우, 세대원 중 일부가 상실한 경우)
자. 사업장(직장)가입자 보수월액 변경 신청서식: 「국민연금법 시행규칙」 별지 제2호의2서식, 「국민건강보험법 시행규칙」 별지 제27호서식, 보험료징수법 시행규칙 별지 제22호의2서식의 국민연금 사업장가입자 기준소득월액 변경신청서, 국민건강보험 직장가입자 보수월액 변경신청서, 고용ㆍ산재보험 월평균보수 변경신고서
차. 근로내용확인 신고서식: 「고용보험법 시행규칙」별지 제7호서식, 보험료징수법 시행규칙 별지 제22호의7서식의 고용ㆍ산재보험 근로내용 확인신고서
카. 보험료지원 신청서식:「국민연금법 시행규칙」별지 제29호의3서식, 보험료징수법 시행규칙 별지 제31호서식의 국민연금 보험료 지원신청서, 고용보험 보험료 지원신청서
타. 피보험자(근로자) 전근(전보) 신고서식: 「고용보험법 시행규칙」별지 제17호서식, 보험료징수법 시행규칙 별지 제22호의9서식의 고용보험 피보험자 전근신고서, 산재보험 근로자 전보신고서
파. 별지 제1호서식의 4대 사회보험 가입내역 확인청구서
2. 고유서식(하나의 서식으로 하나의 사회보험만 신고할 수 있는 서식을 말한다)
가. 「국민연금법 시행규칙」 별지 제28호서식의 연금보험료 납부예외 신청서ㆍ납부 재개 신고서. 다만, 연금보험료 납부 예외 신청서는 제2조제1호의 국민연금공단에서만 접수한다.
나. 「국민건강보험법 시행규칙」 별지 제1호서식의 피부양자 자격 취득ㆍ상실 신고서
다. 국민건강보험공단 업무처리요령 서식의 직장가입자 근무처ㆍ근무내역 변동통보서
라. 「고용보험법 시행규칙」 별지 제75호의4서식의 피보험자 이직확인서
마. 「국민연금법 시행규칙」별지 제5호서식의 임의ㆍ임의계속가입자 가입ㆍ탈퇴신청서. 다만, 임의ㆍ임의계속가입자 가입ㆍ탈퇴신청서는 제2조제1호의 국민연금공단에서만 접수한다.
바. 보험료징수법 시행규칙 별지 제22호의8서식의 근로자 휴직 등 신고서",https://www.law.go.kr/admRulInfoP.do?admRulSeq=2100000213115,(고용노동부) 4대 사회보험 민원서류 접수 등에 관한 고시,
doc:2100000213115:article_4,2100000213115,제4조(민원서류의 접수 등),"제4조(민원서류의 접수 등) ① 민원인이 4대 사회보험기관에 제3조에 따른 민원서류를 제출한 경우에는 「국민연금법 시행규칙」ㆍ「국민건강보험법 시행규칙」ㆍ「고용보험법 시행규칙」 및 보험료징수법 시행규칙에 따라 해당 민원서류를 소관기관에 제출한 것으로 본다.
② 제1항에 따라 제3조 각 호의 민원서류를 접수하는 기관의 담당직원(이하 접수담당직원이라 한다)은 접수한 민원서류의 기재사항 및 구비서류 등 필요한 사항을 확인한 후 접수번호를 부여하여야 한다.
③ 접수담당직원은 제1항에 따라 민원서류를 창구에 접수한 민원인이 접수증의 발급을 요청하면 이를 발급하여야 한다. 다만, 즉시 처리할 경우에는 접수증 발급을 생략할 수 있다.
④ 접수담당직원은 민원서류에 신고(신청)인의 서명 또는 날인이 누락되어 있거나, 민원인의 의사표시를 확인할 수 없는 경우에 민원서류를 접수하지 아니하고 민원인에게 그 사유를 명시하여 반려할 수 있다.",https://www.law.go.kr/admRulInfoP.do?admRulSeq=2100000213115,(고용노동부) 4대 사회보험 민원서류 접수 등에 관한 고시,
doc:2100000213115:article_5,2100000213115,제5조(전산입력 및 전송 등),"제5조(전산입력 및 전송 등) ① 접수담당직원은 접수한 민원서류 내용을 4대 사회보험 정보연계시스템에 지체없이 전산입력하여 제2조 각 호의 기관 중 법령에 의하여 해당 민원서류를 처리하여야 할 소관기관에 각각 전송되도록 조치하여야 한다.
② 접수담당직원은 제1항에 따라 전송한 내용 중 입력오류사항이 있는 경우에 입력오류사항 및 정정사항을 4대 사회보험 정보연계시스템을 통하여 전자적 방법으로 즉시 소관기관에 통보하여야 하며, 이를 통보받은 기관은 해당 민원서류의 내용을 즉시 정정하여야 한다.
③ 접수담당직원이 제1항의 민원서류 중 제3조제1호가목의 사업장적용(성립)신고서를 접수한 경우에는 4대 사회보험 정보연계시스템을 통하여 그 사업장의 사업장관리번호를 실시간으로 받아 해당기관에 전송하여야 한다.",https://www.law.go.kr/admRulInfoP.do?admRulSeq=2100000213115,(고용노동부) 4대 사회보험 민원서류 접수 등에 관한 고시,
doc:2100000213115:article_6,2100000213115,제6조(민원처리결과 통보),"제6조(민원처리결과 통보) ① 제5조에 따라 민원서류를 전송받은 소관기관은 이를 처리한 후 그 결과를 민원인에게 통보하여야 한다.
② 제1항에도 불구하고 제3조제1호파목의 4대 사회보험 가입내역 확인청구서를 접수한 기관은 4대 사회보험 정보연계시스템을 통해 그 확인 내역을 전송받아 민원인에게 4대 사회보험 가입내역확인서를 교부할 수 있다.",https://www.law.go.kr/admRulInfoP.do?admRulSeq=2100000213115,(고용노동부) 4대 사회보험 민원서류 접수 등에 관한 고시,
doc:2100000213115:article_7,2100000213115,제7조(비용부담),제7조(비용부담) 4대 사회보험기관은 민원서류의 접수ㆍ전산입력ㆍ송부 등 업무처리에 소요되는 비용을 각각 부담한다.,https://www.law.go.kr/admRulInfoP.do?admRulSeq=2100000213115,(고용노동부) 4대 사회보험 민원서류 접수 등에 관한 고시,
doc:2100000213115:article_8,2100000213115,제8조(기타),제8조(기타) 이 고시에 따른 4대 사회보험 민원서류의 접수 등에 관하여 그 밖에 필요한 세부사항은 보건복지부장관과 고용노동부장관이 협의하여 정할 수 있다.,https://www.law.go.kr/admRulInfoP.do?admRulSeq=2100000213115,(고용노동부) 4대 사회보험 민원서류 접수 등에 관한 고시,
doc:2100000213115:article_9,2100000213115,제9조(재검토기한),제9조(재검토기한) 이 고시에 대하여 「훈령ㆍ예규 등의 발령 및 관리에 관한 규정」에 따라 2022년 7월 19일을 기준으로 매 3년이 되는 시점(매 3년째의 7월 19일까지를 말한다)마다 그 타당성을 검토하여 개선 등의 조치를 하여야 한다.,https://www.law.go.kr/admRulInfoP.do?admRulSeq=2100000213115,(고용노동부) 4대 사회보험 민원서류 접수 등에 관한 고시,
doc:2100000196119:preamble,2100000196119,(고용노동부) 가공·변형된 석면함유가능물질의 석면허용기준,"1. 가공ㆍ변형된 석면함유가능물질의 석면허용기준
2. 재검토기한
환경부장관과 고용노동부장관은「행정규제기본법」제8조및「훈령ㆍ예규 등의 발령 및 관리에 관한 규정」에 따라 이 고시에 대하여 2021년 1월 1일 기준으로 매3년이 되는 시점(매 3년째의 12월 31일까지를 말한다)마다 그 타당성을 검토하여 개선 등의 조치를 하여야 한다.",https://www.law.go.kr/admRulInfoP.do?admRulSeq=2100000196119,(고용노동부) 가공·변형된 석면함유가능물질의 석면허용기준,
