chunk_id,doc_id,title,text,source_url,metadata.chapter
doc:270215:article_1,270215,제1조(목적),"제1조(목적)   이 법은 위기상황에 놓인 아동ㆍ청년에 대한 지원 사항을 규정함으로써 아동ㆍ청년의 사회적 고립 방지 및 삶의 질 향상을 도모하고, 사회구성원으로서 인간다운 삶의 영위와 건강한 사회참여를 보장하여 사회 전반의 활력을 제고함을 목적으로 한다.",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270215&efYd=20260326,제1장 총칙
doc:270215:article_2,270215,제2조(정의),"제2조(정의)   이 법에서 사용하는 용어의 뜻은 다음과 같다.
1. “위기아동ㆍ청년”이란 34세 이하의 사람으로서 다음 각 목의 어느 하나에 해당하는 사람을 말한다. 다만, 가목의 가족돌봄 아동ㆍ청년의 연령에 대하여는 「병역법」에 따른 병역의무를 이행하고 있거나 이행한 경우 그 병역의무를 이행한 기간을 가산한다.
가. 가족돌봄 아동ㆍ청년: 돌봄이 필요한 가족에게 간호ㆍ간병 및 일상생활 관리 또는 그 밖의 도움을 제공하고 있는 사람
나. 고립ㆍ은둔 아동ㆍ청년: 타인과의 교류가 거의 없거나 상당한 기간 이상 제한된 거주공간에서만 생활하여 일상생활이 현저히 곤란한 사람
다. 그 밖에 대통령령으로 정하는 위기상황에 놓인 사람
2. “사회보장급여”란 「사회보장기본법」 제3조제1호에 따라 국가 및 지방자치단체가 제공하는 현금, 현물, 서비스 및 그 이용권을 말한다.
3. “사례관리”란 사회보장급여와 민간 부문의 서비스를 이 법에 따른 지원체계를 통하여 대상자별 맞춤형으로 연계ㆍ제공하는 지원을 말한다.
4. “도움필요 아동ㆍ청년”이란 위기아동ㆍ청년 중에서 사례관리를 희망하는 사람을 말한다.
5. “지원대상자”란 도움필요 아동ㆍ청년 중에서 제13조에 따라 사례관리 대상자로 선정된 사람을 말한다.
6. “전담조직”이란 위기아동ㆍ청년 전담 지원 업무를 수행하기 위하여 제22조에 따라 국가와 지방자치단체로부터 지정ㆍ위탁을 받은 기관ㆍ단체 또는 법인을 말한다.",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270215&efYd=20260326,제1장 총칙
doc:270215:article_3,270215,제3조(위기아동ㆍ청년 지원의 기본원칙),"제3조(위기아동ㆍ청년 지원의 기본원칙)   ① 위기아동ㆍ청년을 지원할 때에는 아동ㆍ청년의 이익이 최우선으로 고려되어야 한다.
② 위기아동ㆍ청년은 이 법에 따른 지원과 관련하여 자신 또는 부모의 성별, 연령, 종교, 사회적 신분, 재산, 장애 유무, 출생지역, 인종 등에 따라 어떠한 종류의 차별도 받지 아니하여야 한다.
③ 위기아동ㆍ청년은 권리보장과 복지증진을 위하여 이 법에 따른 지원을 받을 권리를 가진다.",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270215&efYd=20260326,제1장 총칙
doc:270215:article_4,270215,제4조(국가와 지방자치단체의 책무),"제4조(국가와 지방자치단체의 책무)   ① 국가와 지방자치단체는 위기아동ㆍ청년에 대한 사회적 인식을 개선하고, 이들이 주체적 사회구성원으로서 자립할 수 있도록 조사ㆍ연구ㆍ교육 및 홍보 등 필요한 조치를 하여야 한다.
② 국가와 지방자치단체는 위기아동ㆍ청년을 조기에 발견하도록 노력하여야 하고, 위기아동ㆍ청년 지원에 필요한 법적ㆍ제도적 장치를 마련하여 시행하여야 한다.",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270215&efYd=20260326,제1장 총칙
doc:270215:article_5,270215,제5조(다른 법률과의 관계),제5조(다른 법률과의 관계)   위기아동ㆍ청년 지원에 관하여 다른 법률에 특별한 규정이 있는 경우를 제외하고는 이 법에서 정하는 바에 따른다.,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270215&efYd=20260326,제1장 총칙
doc:270215:article_6,270215,제6조(위기아동ㆍ청년 지원 기본계획의 수립ㆍ시행),"제6조(위기아동ㆍ청년 지원 기본계획의 수립ㆍ시행)   ① 보건복지부장관은 5년마다 다음 각 호의 사항이 포함된 위기아동ㆍ청년 지원 기본계획(이하 “기본계획”이라 한다)을 수립ㆍ시행하여야 한다.
1. 기본목표 및 추진방향
2. 위기아동ㆍ청년 발굴 및 맞춤형 통합서비스 제공 방안
3. 위기아동ㆍ청년 지원을 위한 조사ㆍ연구ㆍ교육ㆍ홍보 및 제도개선 방안
4. 제25조제2항제4호에 따른 전문인력 양성 방안
5. 기본계획 추진에 필요한 재원 확보 방안
6. 그 밖에 위기아동ㆍ청년 지원을 위하여 필요한 사항
② 보건복지부장관은 「아동복지법」 제7조의 아동정책기본계획 및 「청년기본법」 제8조의 청년정책 기본계획에 부합하도록 기본계획을 수립ㆍ시행하여야 한다.
③ 보건복지부장관은 기본계획을 수립하거나 변경하는 경우에는 「아동복지법」 제10조에 따른 아동정책조정위원회(이하 “아동정책조정위원회”라 한다) 및 「청년기본법」 제13조에 따른 청년정책조정위원회(이하 “청년정책조정위원회”라 한다)의 심의를 거쳐야 한다.
④ 그 밖에 기본계획의 수립ㆍ변경ㆍ시행 등에 필요한 사항은 대통령령으로 정한다.",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270215&efYd=20260326,제2장 위기아동ㆍ청년 지원 기본계획 수립 등
doc:270215:article_7,270215,제7조(연도별 시행계획의 수립ㆍ시행 등),"제7조(연도별 시행계획의 수립ㆍ시행 등)   ① 보건복지부장관, 관계 중앙행정기관의 장 및 지방자치단체의 장은 기본계획에 따라 위기아동ㆍ청년 지원에 관한 연도별 시행계획(이하 “시행계획”이라 한다)을 매년 수립ㆍ시행하여야 한다.
② 관계 중앙행정기관의 장 및 지방자치단체의 장은 다음 연도의 시행계획과 전년도 시행계획에 따른 추진실적을 매년 보건복지부장관에게 제출하여야 한다.
③ 보건복지부장관은 제2항에 따라 관계 중앙행정기관의 장 및 지방자치단체의 장이 제출한 추진실적에 대하여 평가하고, 그 결과를 반영하여 다음 연도의 시행계획을 수립하며, 이를 아동정책조정위원회 및 청년정책조정위원회에 보고하여야 한다.
④ 그 밖에 시행계획의 수립ㆍ변경ㆍ시행 등에 필요한 사항은 대통령령으로 정한다.",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270215&efYd=20260326,제2장 위기아동ㆍ청년 지원 기본계획 수립 등
doc:270215:article_8,270215,제8조(실태조사),"제8조(실태조사)   ① 보건복지부장관은 기본계획 및 시행계획 수립을 위하여 3년마다 위기아동ㆍ청년 실태조사(이하 “실태조사”라 한다)를 실시하고, 그 결과를 공표하여야 한다.
② 보건복지부장관은 실태조사 중에 도움필요 아동ㆍ청년이 발굴되는 경우, 당사자가 동의한 때에는 해당 도움필요 아동ㆍ청년의 전화번호(휴대전화 번호를 포함한다. 이하 같다)를 전담조직에 제공할 수 있다.
③ 실태조사의 내용, 방법 및 결과 공표, 제2항에 따른 도움필요 아동ㆍ청년의 전화번호 제공에 필요한 사항은 대통령령으로 정한다.",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270215&efYd=20260326,제2장 위기아동ㆍ청년 지원 기본계획 수립 등
doc:270215:article_9,270215,제9조(계획수립 및 실태조사 협조),"제9조(계획수립 및 실태조사 협조)   보건복지부장관은 기본계획 및 시행계획의 수립ㆍ시행, 실태조사 실시를 위하여 필요한 경우 관계 중앙행정기관, 「공공기관의 운영에 관한 법률」 제4조에 따른 공공기관, 그 밖의 관련 법인ㆍ단체(이하 이 조에서 “기관등”이라 한다)에 대하여 자료 제출 또는 의견 진술 등 협조를 요청할 수 있다. 이 경우 협조 요청을 받은 기관등은 정당한 사유가 없으면 이에 협조하여야 한다.",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270215&efYd=20260326,제2장 위기아동ㆍ청년 지원 기본계획 수립 등
doc:270215:article_10,270215,제10조(도움필요 아동ㆍ청년의 발굴),"제10조(도움필요 아동ㆍ청년의 발굴)   ① 전담조직의 장은 위기아동ㆍ청년으로서 다음 각 호의 어느 하나에 해당하는 사람에 대하여는 보건복지부령으로 정하는 바에 따라 직권으로 사례관리를 위한 상담을 실시할 수 있다. 이 경우 상담의 내용에 관한 사항은 제12조제2항을 준용한다.
1. 실태조사 시 도움필요 아동ㆍ청년으로 발굴되어 전담조직에의 전화번호 제공에 동의한 사람
2. 다음 각 목의 어느 하나에 해당하는 사람이 직무수행 과정에서 도움필요 아동ㆍ청년으로 판단하여 전담조직에 지원을 요청한 사람
가. 「초ㆍ중등교육법」 제19조 및 「고등교육법」 제14조에 따른 교원
나. 「의료법」 제3조에 따른 의료기관의 장
다. 「아동복지법」 제37조에 따른 취약계층 아동에 대한 통합서비스지원을 실시하는 기관의 장
라. 「아동복지법」 제50조에 따른 아동복지시설의 장
마. 「청소년 기본법」 제17조에 따른 청소년복지시설의 장
바. 「사회복지사업법」 제2조제4호에 따른 사회복지시설의 장
사. 「청년기본법」 제3조제7호에 따른 청년시설의 장
아. 「청소년복지 지원법」 제29조에 따른 청소년상담복지센터의 장, 같은 법 제30조에 따른 이주배경청소년지원센터의 장 및 같은 법 제31조제1호에 따른 청소년쉼터의 장
자. 「학교 밖 청소년 지원에 관한 법률」 제12조에 따른 학교 밖 청소년 지원센터의 장
차. 그 밖에 보건복지부장관이 도움필요 아동ㆍ청년의 발굴과 관련하여 필요하다고 인정한 기관의 장
② 보건복지부장관은 도움필요 아동ㆍ청년의 발굴ㆍ상담ㆍ신청 등을 위하여 보건복지부령으로 정하는 바에 따라 온라인, 전화 등 위기아동ㆍ청년 지원 원스톱 창구를 설치ㆍ운영할 수 있다.",https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270215&efYd=20260326,제3장 위기아동ㆍ청년 지원 절차
